sample	unit	fq1	fq2
IP	cRIP_rep1_NSP9_12h_CTRL2	data/cRIP_IP_NSP9_12h_CTRL2_R1.fq.gz	data/cRIP_IP_NSP9_12h_CTRL2_R2.fq.gz
IP	cRIP_rep1_NSP9_12h_KO6_plus_eV	data/cRIP_IP_NSP9_12h_KO6_plus_eV_R1.fq.gz	data/cRIP_IP_NSP9_12h_KO6_plus_eV_R2.fq.gz
IP	cRIP_rep1_NSP9_12h_KO6_plus_SND1	data/cRIP_IP_NSP9_12h_KO6_plus_SND1_R1.fq.gz	data/cRIP_IP_NSP9_12h_KO6_plus_SND1_R2.fq.gz
IP	cRIP_rep1_NSP9_8h_CTRL2	data/cRIP_IP_NSP9_8h_CTRL2_R1.fq.gz	data/cRIP_IP_NSP9_8h_CTRL2_R2.fq.gz
IP	cRIP_rep1_NSP9_8h_KO6_plus_eV	data/cRIP_IP_NSP9_8h_KO6_plus_eV_R1.fq.gz	data/cRIP_IP_NSP9_8h_KO6_plus_eV_R2.fq.gz
IP	cRIP_rep1_NSP9_8h_KO6_plus_SND1	data/cRIP_IP_NSP9_8h_KO6_plus_SND1_R1.fq.gz	data/cRIP_IP_NSP9_8h_KO6_plus_SND1_R2.fq.gz
SM	cRIP_rep1_NSP9_12h_CTRL2	data/cRIP_SMI_NSP9_12h_CTRL2_R1.fq.gz	data/cRIP_SMI_NSP9_12h_CTRL2_R2.fq.gz
SM	cRIP_rep1_NSP9_12h_KO6_plus_eV	data/cRIP_SMI_NSP9_12h_KO6_plus_eV_R1.fq.gz	data/cRIP_SMI_NSP9_12h_KO6_plus_eV_R2.fq.gz
SM	cRIP_rep1_NSP9_12h_KO6_plus_SND1	data/cRIP_SMI_NSP9_12h_KO6_plus_SND1_R1.fq.gz	data/cRIP_SMI_NSP9_12h_KO6_plus_SND1_R2.fq.gz
SM	cRIP_rep1_NSP9_8h_CTRL2	data/cRIP_SMI_NSP9_8h_CTRL2_R1.fq.gz	data/cRIP_SMI_NSP9_8h_CTRL2_R2.fq.gz
SM	cRIP_rep1_NSP9_8h_KO6_plus_eV	data/cRIP_SMI_NSP9_8h_KO6_plus_eV_R1.fq.gz	data/cRIP_SMI_NSP9_8h_KO6_plus_eV_R2.fq.gz
SM	cRIP_rep1_NSP9_8h_KO6_plus_SND1	data/cRIP_SMI_NSP9_8h_KO6_plus_SND1_R1.fq.gz	data/cRIP_SMI_NSP9_8h_KO6_plus_SND1_R2.fq.gz
IP	cRIP_rep2_NSP9_12h_CTRL2	data/cRIP_IP_NSP9_12h_CTRL2_Rep2_R1.fq.gz	data/cRIP_IP_NSP9_12h_CTRL2_Rep2_R2.fq.gz
IP	cRIP_rep2_NSP9_12h_KO6_plus_eV	data/cRIP_IP_NSP9_12h_KO6_plus_eV_Rep2_R1.fq.gz	data/cRIP_IP_NSP9_12h_KO6_plus_eV_Rep2_R2.fq.gz
IP	cRIP_rep2_NSP9_12h_KO6_plus_SND1	data/cRIP_IP_NSP9_12h_KO6_plus_SND1_Rep2_R1.fq.gz	data/cRIP_IP_NSP9_12h_KO6_plus_SND1_Rep2_R2.fq.gz
IP	cRIP_rep2_NSP9_8h_CTRL2	data/cRIP_IP_NSP9_8h_CTRL2_Rep2_R1.fq.gz	data/cRIP_IP_NSP9_8h_CTRL2_Rep2_R2.fq.gz
IP	cRIP_rep2_NSP9_8h_KO6_plus_eV	data/cRIP_IP_NSP9_8h_KO6pluseV_Rep2_R1.fq.gz	data/cRIP_IP_NSP9_8h_KO6pluseV_Rep2_R2.fq.gz
IP	cRIP_rep2_NSP9_8h_KO6_plus_SND1	data/cRIP_IP_NSP9_8h_KO6plusSND1_Rep2_R1.fq.gz	data/cRIP_IP_NSP9_8h_KO6plusSND1_Rep2_R2.fq.gz
SM	cRIP_rep2_NSP9_12h_CTRL2	data/cRIP_SMI_NSP9_12h_CTRL2_Rep2_R1.fq.gz	data/cRIP_SMI_NSP9_12h_CTRL2_Rep2_R2.fq.gz
SM	cRIP_rep2_NSP9_12h_KO6_plus_eV	data/cRIP_SMI_NSP9_12h_KO6_plus_eV_Rep2_R1.fq.gz	data/cRIP_SMI_NSP9_12h_KO6_plus_eV_Rep2_R2.fq.gz
SM	cRIP_rep2_NSP9_12h_KO6_plus_SND1	data/cRIP_SMI_NSP9_12h_KO6_plus_SND1_Rep2_R1.fq.gz	data/cRIP_SMI_NSP9_12h_KO6_plus_SND1_Rep2_R2.fq.gz
SM	cRIP_rep2_NSP9_8h_CTRL2	data/cRIP_SMI_NSP9_8h_CTRL2_Rep2_R1.fq.gz	data/cRIP_SMI_NSP9_8h_CTRL2_Rep2_R2.fq.gz
SM	cRIP_rep2_NSP9_8h_KO6_plus_eV	data/cRIP_SMI_NSP9_8h_KO6pluseV_Rep2_R1.fq.gz	data/cRIP_SMI_NSP9_8h_KO6pluseV_Rep2_R2.fq.gz
SM	cRIP_rep2_NSP9_8h_KO6_plus_SND1	data/cRIP_SMI_NSP9_8h_KO6plusSND1_Rep2_R1.fq.gz	data/cRIP_SMI_NSP9_8h_KO6plusSND1_Rep2_R2.fq.gz
IP	cRIP_N_rep1	data/cRIP_IP_N_rep1_R1.fq.gz	data/cRIP_IP_N_rep1_R2.fq.gz
IP	cRIP_N_rep2	data/cRIP_IP_N_rep2_R1.fq.gz	data/cRIP_IP_N_rep2_R2.fq.gz
SM	cRIP_N_rep1	data/cRIP_SMI_N_rep1_R1.fq.gz	data/cRIP_SMI_N_rep1_R2.fq.gz
SM	cRIP_N_rep2	data/cRIP_SMI_N_rep2_R1.fq.gz	data/cRIP_SMI_N_rep2_R2.fq.gz
IP	eCLIP_N_rep1	data/eCLIP_IP_N_rep1_R1.fq.gz	data/eCLIP_IP_N_rep1_R2.fq.gz
IP	eCLIP_N_rep2	data/eCLIP_IP_N_rep2_R1.fq.gz	data/eCLIP_IP_N_rep2_R2.fq.gz
SM	eCLIP_N_rep1	data/eCLIP_SMI_N_rep1_R1.fq.gz	data/eCLIP_SMI_N_rep1_R2.fq.gz
SM	eCLIP_N_rep2	data/eCLIP_SMI_N_rep2_R1.fq.gz	data/eCLIP_SMI_N_rep2_R2.fq.gz
IP	eCLIP_cnbp	data/CNBP-IP_S5_L001_R1_001.fastq.gz	data/CNBP-IP_S5_L001_R2_001.fastq.gz
SM	eCLIP_cnbp	data/INPUT-CNBP_S6_L001_R1_001.fastq.gz	data/INPUT-CNBP_S6_L001_R2_001.fastq.gz
IP	eCLIP_snd1_huh7	data/IP_Huh7_SND1_SG_R1.fq.gz	data/IP_Huh7_SND1_SG_R2.fq.gz
SM	eCLIP_snd1_huh7	data/SM_Huh7_SND1_SG_R1.fq.gz	data/SM_Huh7_SND1_SG_R2.fq.gz
